mode,final_action_loss,mae,mape_pct,max_abs_error,max_error_step,last20_mean,mean_step_time_s,mean_samples_per_sec
dense,0.1339544802904129,0,0,0,,0.14931262508034707,0.9890122632699244,12.140531861700076
gradient_row,0.13385547697544098,0.00024319096335342953,0.1553468353125,0.0022452175617218018,582,0.14934299439191817,1.347160742140158,8.920366866397872
gradient_block_128,0.1343505084514618,0.0002743731651987348,0.17441220811109226,0.001689523458480835,838,0.14935243427753447,4.044088025440133,3.0455000897259987
