variant,hook,final_action_loss,last20_action_loss_mean,mae_vs_dense,mape_percent_vs_dense,max_abs_error,step_time_mean_all,step_time_mean_last20,selected_tensor_count_first_refresh,eligible_tensor_count_first_refresh,selected_tensor_byte_share_first_refresh,nan_iterations,skipped_iterations,status
dense,allreduce_hook,0.1339544802904129,0.14931262508034707,0,0,0,1.615030347998254,1.592741321027279,,,0,0,success_1000
powersgd_plus,powersgd_plus_hook,0.13524390757083893,0.15055469572544097,0.0010944648193461554,0.7055164329437515,0.00549045205116272,1.65939668344234,1.6115608908818104,,,0,0,success_1000
selective_gemm,layerwise_powersgd_hook,0.1410694718360901,0.15076395347714425,0.007041521423629352,4.504680539208875,0.027931690216064453,1.772556006288422,1.6871802010922692,382,813,0.6177099698577944,0,0,success_1000
selective_all2d,layerwise_powersgd_hook,0.14339129626750946,0.15180208012461663,0.007538915638412748,4.810843591682176,0.04341445863246918,1.7850908396559368,1.6749829945154489,454,813,0.7828797619469678,0,0,success_1000
