variant,n_steps,final_step,final_action_loss,last20_mean,mae_vs_dense,mape_vs_dense_pct,max_abs_error_vs_dense,max_error_step,mean_step_time,mean_samples_per_sec,nan_iterations_total,skipped_iterations_total
dense,400,1000,0.007955353707075119,0.013795811007730663,0.0,0.0,0.0,601,5.236168523085653,0.2680385875616564,0,0
gradient_row,400,1000,0.009876895695924759,0.01372354761697352,0.002910446447785944,18.323433534643012,0.039553992450237274,835,9.505217244029046,0.11717173990355917,0,0
gradient_column,400,1000,0.010228456929326057,0.014637265214696526,0.002643209853558801,15.999797256879694,0.0528523288667202,835,13.061835140683106,0.08041749541632105,0,0
gradient_block,400,1000,0.00816679559648037,0.016006477060727775,0.0031882689986377955,21.444653880551602,0.047918833792209625,835,7.292135593035491,0.16647176249650708,0,0
per_tensor,400,1000,0.00687020318582654,0.012663916917517781,0.0028666485915891824,18.332439859518942,0.06357405334711075,811,6.733843667058973,0.18007892388731492,0,0
