variant,aligned_steps,first_step,last_step,final_action_loss,mean_action_loss,median_action_loss,std_action_loss,last20_mean_action_loss,mae_vs_dense,mape_vs_dense_percent,max_abs_error_vs_dense,max_abs_error_step,mean_step_time_seconds,mean_samples_per_sec,nan_iterations_max,skipped_iterations_max
dense,700,301,1000,0.1339544802904129,0.15787909484335355,0.15587934851646423,0.01554052752680525,0.14931262508034707,0.0,0.0,0.0,301,3.6942461390264465,3.451672392016678,0,0
gradient_row,700,301,1000,0.13385547697544098,0.15787994496524335,0.1557992398738861,0.015525223477438099,0.14934299439191817,0.00024319096335342953,0.15534683531350146,0.0022452175617218018,582,12.37529766733991,0.9993668788589596,0,0
gradient_column,700,301,1000,0.1337922066450119,0.15785169401339122,0.15568041801452637,0.015521939877428398,0.14932994917035103,0.0002902074158191681,0.1837870012849913,0.0030274689197540283,955,13.093018983168461,0.9461363438496161,0,0
gradient_block,700,301,1000,0.1343505084514618,0.15789944631712777,0.15575436502695084,0.015533040823044025,0.14935243427753447,0.0002743731651987348,0.1744122081122112,0.001689523458480835,838,12.060416611146648,1.0266094832228636,0,0
per_tensor,700,301,1000,0.13421888649463654,0.15787030216838632,0.1558179333806038,0.01552690882922194,0.14927381426095962,0.0002427931662116732,0.15475526512551357,0.001897662878036499,838,4.684922409749124,2.6589048837404894,0,0
