first_empirical_loss_divergence_step,first_step,last_step,max_abs_loss_error,mean_abs_loss_error,mean_baseline_action_loss,mean_baseline_samples_per_sec,mean_baseline_step_time_s,mean_relative_loss_error_pct,mean_variant_action_loss,mean_variant_samples_per_sec,mean_variant_step_time_s,num_steps,policy,scope,step_time_change_pct,throughput_change_pct,variant
305,301,303,0.0,0.0,0.1674976944923401,8.79492600621631,3.256416206674961,0.0,0.1674976944923401,8.637406794235819,3.2921281319965296,3,PowerSGD+ rank1 / period50,dense_prefix_step301_303,1.0966634193862124,-1.7910237319694877,standard_powersgd_plus
305,304,1000,0.01046416163444519,0.0032057451081583797,0.15783769484486437,12.252583906294465,0.9796107850713793,2.062105539993553,0.1608692003972561,4.08012287540466,3.141779415351519,697,PowerSGD+ rank1 / period50,configured_affected_step304_1000,220.71711165599237,-66.69989851439746,standard_powersgd_plus
305,304,452,0.01046416163444519,0.0026332599004643075,0.1667705227264622,12.235924961492708,0.980979310346286,1.6141120645393452,0.16881866483080307,4.069110148016615,3.159149013469449,149,PowerSGD+ rank1 / period50,high_lr_step304_452,222.04033052993424,-66.74456438052388,standard_powersgd_plus
305,453,735,0.009842395782470703,0.0031146735163543756,0.15794527646509582,12.24871397025509,0.9798842070251127,1.9860848676731921,0.16097528189947244,4.083806396455932,3.1457187580086647,283,PowerSGD+ rank1 / period50,middle_lr_step453_735,221.02964161030155,-66.6593047533554,standard_powersgd_plus
305,736,1000,0.008129298686981201,0.003624890604109134,0.15270019690945463,12.266083433368445,0.9785493183586711,2.3951805517269076,0.15628621448885718,4.0823812147379,3.1278061923645613,265,PowerSGD+ rank1 / period50,low_lr_step736_1000,219.6370518770435,-66.71813593218957,standard_powersgd_plus
305,304,353,0.008356556296348572,0.002151262164115906,0.1713532802462578,12.275809311933296,0.9778142006555572,1.2993214309863046,0.17312854737043382,4.093870834735148,3.1361271637759636,50,PowerSGD+ rank1 / period50,first_50_affected,220.7283307680954,-66.65090886712046,standard_powersgd_plus
305,304,403,0.01046416163444519,0.0026597136259078977,0.1693176408112049,12.238352231039558,0.9808498884085566,1.616189433187026,0.1713639710843563,4.0922629967945205,3.133557180548669,100,PowerSGD+ rank1 / period50,first_100_affected,219.47367457347747,-66.56197730266737,standard_powersgd_plus
305,304,453,0.01046416163444519,0.0026404571533203123,0.16682163298130034,12.23591598170135,0.9809782925306354,1.6175411454090114,0.16888087312380473,4.070912123675827,3.1565237208863253,150,PowerSGD+ rank1 / period50,first_150_affected,221.7730448187006,-66.72981303758687,standard_powersgd_plus
305,901,1000,0.006011649966239929,0.00372873030602932,0.1525360917299986,12.269796233238198,0.9782146717462455,2.477818787108481,0.1561618085205555,4.082898276339266,3.1207964586414163,100,PowerSGD+ rank1 / period50,final_100,219.02981510902637,-66.72399281351615,standard_powersgd_plus
305,305,1000,0.01046416163444519,0.00321035106377355,0.1578157819464974,12.253644713246336,0.9795208785197184,2.0650683353096353,0.160851643110315,4.082840278601782,3.138416410968425,696,PowerSGD+ rank1 / period50,empirical_divergence_to_1000,220.40321751092176,-66.68060504326372,standard_powersgd_plus
305,301,303,0.0,0.0,0.1674976944923401,8.79492600621631,3.256416206674961,0.0,0.1674976944923401,8.529523032288035,3.632557753007859,3,per-step per-tensor 5% error-budget oracle,dense_prefix_step301_303,11.55078228519708,-3.017682851915826,oracle_error_budget
305,304,1000,0.002594009041786194,0.0002946137655072096,0.15783769484486437,12.252583906294465,0.9796107850713793,0.18768386739414986,0.15783013920787417,2.1383109293836995,5.708114463893077,697,per-step per-tensor 5% error-budget oracle,configured_affected_step304_1000,482.6920804549079,-82.54808172923268,oracle_error_budget
305,304,452,0.001972377300262451,0.000264212589135906,0.1667705227264622,12.235924961492708,0.980979310346286,0.16112427429098145,0.16672588764821122,2.1379357792957348,5.708116234806382,149,per-step per-tensor 5% error-budget oracle,high_lr_step304_452,481.87937040093277,-82.52738729581976,oracle_error_budget
305,453,735,0.002594009041786194,0.00031501360158617,0.15794527646509582,12.24871397025509,0.9798842070251127,0.19902521244292332,0.15794162531202335,2.135040534001112,5.71395415751767,283,per-step per-tensor 5% error-budget oracle,middle_lr_step453_735,483.125446512195,-82.56926776814393,oracle_error_budget
305,736,1000,0.002278238534927368,0.0002899217718052414,0.15270019690945463,12.266083433368445,0.9785493183586711,0.19050567389818465,0.15270932001887627,2.142014398275696,5.70187711611254,265,per-step per-tensor 5% error-budget oracle,low_lr_step736_1000,482.68673935375534,-82.5370958064039,oracle_error_budget
305,304,353,0.00028833746910095215,9.686291217803955e-05,0.1713532802462578,12.275809311933296,0.9778142006555572,0.056937441520805085,0.17135753363370895,2.1418914363211483,5.693915802901611,50,per-step per-tensor 5% error-budget oracle,first_50_affected,482.31060656352,-82.55193297733112,oracle_error_budget
305,304,403,0.001972377300262451,0.00018254175782203674,0.1693176408112049,12.238352231039558,0.9808498884085566,0.10905432771160842,0.1692911547422409,2.136622673657796,5.72124958769069,100,per-step per-tensor 5% error-budget oracle,first_100_affected,483.29512551339553,-82.54158212378641,oracle_error_budget
305,304,453,0.001972377300262451,0.000264910360177358,0.16682163298130034,12.23591598170135,0.9809782925306354,0.16145989791102566,0.16677975465854009,2.136883000054628,5.710465781447322,150,per-step per-tensor 5% error-budget oracle,first_150_affected,482.1194846948142,-82.53597848129795,oracle_error_budget
305,901,1000,0.002278238534927368,0.00032085664570331575,0.1525360917299986,12.269796233238198,0.9782146717462455,0.20996804983174477,0.15253073647618293,2.138456275379296,5.720595498166513,100,per-step per-tensor 5% error-budget oracle,final_100,484.7996010890407,-82.57137906181084,oracle_error_budget
305,305,1000,0.002594009041786194,0.00029503706114730613,0.1578157819464974,12.253644713246336,0.9795208785197184,0.18795352812316443,0.15780821545370693,2.13749229882187,5.709949129335425,696,per-step per-tensor 5% error-budget oracle,empirical_divergence_to_1000,482.9328659093488,-82.55627326528231,oracle_error_budget
305,301,303,0.0,0.0,0.1674976944923401,8.79492600621631,3.256416206674961,0.0,0.1674976944923401,6.282377151250546,3.6266449990022616,3,Accordion critical-regime protection + PowerSGD+,dense_prefix_step301_303,11.36920985617289,-28.568163656975376,accordion_powersgd_plus
305,304,1000,0.029032275080680847,0.0066304941858075445,0.15783769484486437,12.252583906294465,0.9796107850713793,4.292233452602114,0.1610944645433891,3.9199820123537266,3.283743674761881,697,Accordion critical-regime protection + PowerSGD+,configured_affected_step304_1000,235.2090161525336,-68.0068951795553,accordion_powersgd_plus
305,304,452,0.023987233638763428,0.0035387489619671097,0.1667705227264622,12.235924961492708,0.980979310346286,2.1726621646476176,0.1688459456566996,3.8910464401255953,3.2894005189245825,149,Accordion critical-regime protection + PowerSGD+,high_lr_step304_452,235.318032116643,-68.19981773040466,accordion_powersgd_plus
305,453,735,0.029032275080680847,0.0073096767436489195,0.15794527646509582,12.24871397025509,0.9798842070251127,4.63942729991116,0.16121682487823094,3.8670324156562006,3.2862094636756,283,Accordion critical-regime protection + PowerSGD+,middle_lr_step453_735,235.36712196356282,-68.42907406404505,accordion_powersgd_plus
305,736,1000,0.028292134404182434,0.007643555976309866,0.15270019690945463,12.266083433368445,0.9785493183586711,5.113215577571021,0.15660541299379097,3.992797620381618,3.277929757619145,265,Accordion critical-regime protection + PowerSGD+,low_lr_step736_1000,234.97849276695058,-67.44847169782264,accordion_powersgd_plus
305,304,353,0.008392289280891418,0.00216637521982193,0.1713532802462578,12.275809311933296,0.9778142006555572,1.307316050680832,0.17315711200237274,3.973752041434708,3.2064566904958336,50,Accordion critical-regime protection + PowerSGD+,first_50_affected,227.92085534717378,-67.6294088604665,accordion_powersgd_plus
305,304,403,0.01018589735031128,0.0027013108134269713,0.1693176408112049,12.238352231039558,0.9808498884085566,1.6408917861285337,0.1714482669532299,3.9447772220783146,3.227809449589695,100,Accordion critical-regime protection + PowerSGD+,first_100_affected,229.0829195919942,-67.76708867658375,accordion_powersgd_plus
305,304,453,0.023987233638763428,0.003527587354183197,0.16682163298130034,12.23591598170135,0.9809782925306354,2.1653035593163077,0.168870789706707,3.8973725093450238,3.2840002552051253,150,Accordion critical-regime protection + PowerSGD+,first_150_affected,234.76788224674888,-68.14809356999923,accordion_powersgd_plus
305,901,1000,0.028292134404182434,0.0072446586936712265,0.1525360917299986,12.269796233238198,0.9782146717462455,4.886501895731566,0.15597036018967628,4.119270851381757,3.307592118788161,100,Accordion critical-regime protection + PowerSGD+,final_100,238.12538436820435,-66.42755288614426,accordion_powersgd_plus
305,305,1000,0.029032275080680847,0.0066400207579135895,0.1578157819464974,12.253644713246336,0.9795208785197184,4.298400454689187,0.16107723091183038,3.922797562336181,3.279666687116437,696,Accordion critical-regime protection + PowerSGD+,empirical_divergence_to_1000,234.82356109374294,-67.98668760082793,accordion_powersgd_plus
