action_loss,adam_exp_avg_rms,adam_exp_avg_sq_max,adam_exp_avg_sq_mean,adam_exp_avg_sq_rms,adam_state_numel,lr,step,variant
0.16934029757976532,2.1183138783913875e-06,0.00018454442033544183,8.186016314607814e-11,1.4346822612629848e-08,3248572176.0,1.9487689809467175e-05,325,baseline_resume
0.1560392677783966,2.118796079800551e-06,0.0006897125276736915,8.78517422917482e-11,2.366615901832616e-08,3248572176.0,1.8667252897272195e-05,350,baseline_resume
0.14180316030979156,2.2162325261182798e-06,0.0002951383066829294,9.142489764293696e-11,1.79609896315348e-08,3248572176.0,1.7811166424879367e-05,375,baseline_resume
0.18058736622333527,2.140692227551648e-06,0.0004862697678618133,9.926512107093578e-11,1.9298002107363745e-08,3248572176.0,1.692481555980906e-05,400,baseline_resume
0.18676766753196716,2.1520524974359302e-06,0.00030144606716930866,9.243863117012697e-11,1.6516373910840634e-08,3248572176.0,1.6013775846172952e-05,425,baseline_resume
0.15425164997577667,1.9772732659149963e-06,0.00017915018543135375,8.10380479883463e-11,1.3241596022005147e-08,3248572176.0,1.5083778132003167e-05,450,baseline_resume
0.17389647662639618,1.9075588785916697e-06,0.0002852032193914056,7.955858979945135e-11,1.551689121789334e-08,3248572176.0,1.4140672519650192e-05,475,baseline_resume
0.1719685196876526,1.9600620127034583e-06,0.0002201250463258475,8.184734281852066e-11,1.517541246735839e-08,3248572176.0,1.3190391566017695e-05,500,baseline_resume
0.15991197526454926,2.057287000469749e-06,0.00023869317374192178,8.407941533449462e-11,1.3950513645678995e-08,3248572176.0,1.2238912964121226e-05,525,baseline_resume
0.15009932219982147,2.224214698245531e-06,0.00019788565987255424,8.913050763500556e-11,1.4252921422346979e-08,3248572176.0,1.1292221940720579e-05,550,baseline_resume
0.148244246840477,2.011485424580223e-06,0.00020395430328790098,7.820137574695641e-11,1.3221219595165128e-08,3248572176.0,1.0356273606561512e-05,575,baseline_resume
0.15389257669448853,1.9596691877341868e-06,0.00016017684538383037,8.075017619834756e-11,1.3658020240665754e-08,3248572176.0,9.436955496060705e-06,600,baseline_resume
0.17816244065761566,1.9986019785310947e-06,0.00019210734171792865,7.733828858835342e-11,1.336207903361747e-08,3248572176.0,8.54005053207607e-06,625,baseline_resume
0.15971988439559937,2.086816843713672e-06,0.00018965068738907576,7.861146280928789e-11,1.2940316363992203e-08,3248572176.0,7.67120064873071e-06,650,baseline_resume
