first_empirical_loss_divergence_step,first_step,last_step,max_abs_loss_error,mean_abs_loss_error,mean_baseline_action_loss,mean_baseline_samples_per_sec,mean_baseline_step_time_s,mean_lr,mean_relative_loss_error_pct,mean_variant_action_loss,mean_variant_samples_per_sec,mean_variant_step_time_s,num_steps,policy,scope,step_time_change_pct,throughput_change_pct,variant
303,101,300,0.0,0.0,0.18373261995613574,12.256366316669887,1.0185917622954002,2.2708439150998864e-05,0.0,0.18373261995613574,11.893858694040743,1.0518811762754923,200,Exact Residual Flush,exact_prefix_step101_300,3.2681801691655465,-2.9577087797718393,exact_flush_start300
303,301,1000,0.010792210698127747,0.0033584883276905333,0.157866557517222,12.302175135327268,0.9754602539540584,8.687397713900921e-06,2.15674010750545,0.16108708416776998,4.065172098518521,3.1341987820185855,700,Exact Residual Flush,configured_affected_loss_step301_1000,221.30461177828758,-66.95566390658136,exact_flush_start300
303,301,350,0.008563771843910217,0.002196127474308014,0.1717866137623787,12.335107157164627,0.9728452935011592,1.94648805641681e-05,1.3073634321632202,0.17370283961296082,4.188211962464206,3.06360407799948,50,Exact Residual Flush,first_50_affected_losses,214.91174377520176,-66.0464079549438,exact_flush_start300
303,301,400,0.010792210698127747,0.002718961983919144,0.1695002533495426,12.329366081688145,0.9733163382607745,1.862678672932483e-05,1.6439843671425522,0.17174030780792238,4.137549676797001,3.093706054720096,100,Exact Residual Flush,first_100_affected_losses,217.8520623878831,-66.44150518863916,exact_flush_start300
303,301,450,0.010792210698127747,0.0027763694524765015,0.1667983999848366,12.32753297489092,0.973453123261376,1.7748592024786792e-05,1.6978216236269088,0.1691653870542844,4.129569404316339,3.0882985749464327,150,Exact Residual Flush,first_150_affected_losses,217.2519047039117,-66.50125039026409,exact_flush_start300
303,301,453,0.010792210698127747,0.002775384417546341,0.16676907309519698,12.327458273983227,0.9734585950013366,1.769486918396074e-05,1.6960225112356158,0.16914310223526424,4.119179083899763,3.1062888003523565,153,Exact Residual Flush,high_lr_phase_step301_453,219.09819444843376,-66.58533338869067,exact_flush_start300
303,454,735,0.009616687893867493,0.003544474060231067,0.15788420025549882,12.281805033498502,0.9770719549856652,9.748560058131813e-06,2.262073950220495,0.16134019766716248,4.082421021037143,3.112498380244604,282,Exact Residual Flush,middle_lr_phase_step454_735,218.55365046172756,-66.76041502122547,exact_flush_start300
303,736,1000,0.0075785815715789795,0.0034972314283532916,0.15270784002430035,12.309254563634251,0.974900835572373,2.3576206724206795e-06,2.3106482153682504,0.1561665227671839,4.0156352497880246,3.173405349924985,265,Exact Residual Flush,low_lr_phase_step736_1000,225.51057852585083,-67.37710452709635,exact_flush_start300
303,101,1000,0.010792210698127747,0.0026121575882037482,0.16361457139253616,12.29199539784785,0.9850450335854677,1.1803184699922684e-05,1.6774645280597946,0.1661194254540735,5.804880230856792,2.671461536297898,900,Exact Residual Flush,full_step101_1000,171.20196998243205,-52.77511874212757,exact_flush_start300
303,901,1000,0.005844220519065857,0.0035027427971363067,0.15254655979573728,12.30971875977525,0.9748791684384923,1.1974024953087183e-06,2.3272427740323067,0.15594845302402974,4.055943387639972,3.1506891199102394,100,Exact Residual Flush,final_100_steps,223.1876546256332,-67.05088502189285,exact_flush_start300
303,303,1000,0.010792210698127747,0.003368111503414575,0.157865685578916,12.302095599726277,0.9754666119711264,8.654347933174526e-06,2.1629198785871275,0.16109544009952287,4.070560287773224,3.127429740068791,698,Exact Residual Flush,empirical_first_divergence_to_step1000,220.6085889243498,-66.91165131358763,exact_flush_start300
302,101,300,0.0,0.0,0.18373261995613574,12.256366316669887,1.0185917622954002,2.2708439150998864e-05,0.0,0.18373261995613574,11.891774705644336,1.0425020116698578,200,"rank2 through step452, then rank1",exact_prefix_step101_300,2.3473829515934685,-2.974712093336096,lr_rank2_start300
302,301,1000,0.04433716833591461,0.006291087823254721,0.157866557517222,12.302175135327268,0.9754602539540584,8.687397713900921e-06,4.083598087914656,0.16046493038535117,4.015598380398793,3.177531016257043,700,"rank2 through step452, then rank1",configured_affected_loss_step301_1000,225.74684651443482,-67.35863100446775,lr_rank2_start300
302,301,350,0.00747700035572052,0.0019792714715003968,0.1717866137623787,12.335107157164627,0.9728452935011592,1.94648805641681e-05,1.1805689956137788,0.17343974709510804,4.05184121309609,3.1746150278428105,50,"rank2 through step452, then rank1",first_50_affected_losses,226.32269992464407,-67.15195772950663,lr_rank2_start300
302,301,400,0.007837429642677307,0.0021740661561489103,0.1695002533495426,12.329366081688145,0.9733163382607745,1.862678672932483e-05,1.3108050402901343,0.1710831642150879,4.021130851024399,3.190832859062939,100,"rank2 through step452, then rank1",first_100_affected_losses,227.83101789544187,-67.38574534665919,lr_rank2_start300
302,301,450,0.007837429642677307,0.002126594285170237,0.1667983999848366,12.32753297489092,0.973453123261376,1.7748592024786792e-05,1.2965895702611983,0.16836030383904774,4.054935974180845,3.1576678749612377,150,"rank2 through step452, then rank1",first_150_affected_losses,224.3780105591578,-67.10667103920909,lr_rank2_start300
302,301,453,0.007837429642677307,0.0021195162355510237,0.16676907309519698,12.327458273983227,0.9734585950013366,1.769486918396074e-05,1.2908052867671898,0.1683345777926102,4.023216629311328,3.1992686089361086,153,"rank2 through step452, then rank1",high_lr_phase_step301_453,228.6496852936735,-67.36377816177874,lr_rank2_start300
302,454,735,0.02572450041770935,0.007468856976810077,0.15788420025549882,12.281805033498502,0.9770719549856652,9.748560058131813e-06,4.767950614431923,0.16030562642618273,4.049885364910327,3.1477443467052026,282,"rank2 through step452, then rank1",middle_lr_phase_step454_735,222.1609555614953,-67.02532442206741,lr_rank2_start300
302,736,1000,0.04433716833591461,0.007446255942560592,0.15270784002430035,12.309254563634251,0.974900835572373,2.3576206724206795e-06,4.9677863373399145,0.15609084609544502,3.974713392791737,3.19667814506354,265,"rank2 through step452, then rank1",low_lr_phase_step736_1000,227.89777466820428,-67.70955241648508,lr_rank2_start300
302,101,1000,0.04433716833591461,0.004893068306975895,0.16361457139253616,12.29199539784785,0.9850450335854677,1.1803184699922684e-05,3.176131846155844,0.16563552806774776,5.765859786008914,2.7030801263487794,900,"rank2 through step452, then rank1",full_step101_1000,174.41183237174772,-53.092564718837835,lr_rank2_start300
302,901,1000,0.04433716833591461,0.007715224996209144,0.15254655979573728,12.30971875977525,0.9748791684384923,1.1974024953087183e-06,5.142066117426585,0.15596638172864913,3.998649856586835,3.1968836427404312,100,"rank2 through step452, then rank1",final_100_steps,227.92614164286874,-67.51631832846324,lr_rank2_start300
302,302,1000,0.04433716833591461,0.006300087948896002,0.15787327577371965,12.302133424557605,0.9754635862701669,8.670874710393503e-06,4.089440145265035,0.16047536591347708,4.018825653491214,3.1723211742845967,699,"rank2 through step452, then rank1",empirical_first_divergence_to_step1000,225.21164489742236,-67.33228689042825,lr_rank2_start300
302,101,300,0.0,0.0,0.18373261995613574,12.256366316669887,1.0185917622954002,2.2708439150998864e-05,0.0,0.18373261995613574,11.90493773337319,1.037098052072106,200,period 25/50/100,exact_prefix_step101_300,1.816850524591107,-2.8673146201473987,dynamic_period_start300
302,301,1000,0.010171458125114441,0.0032330645940133506,0.157866557517222,12.302175135327268,0.9754602539540584,8.687397713900921e-06,2.078180407600558,0.1609544298797846,4.033917560793632,3.1672578842489747,700,period 25/50/100,configured_affected_loss_step301_1000,224.69368909808435,-67.2097209117945,dynamic_period_start300
302,301,350,0.00926797091960907,0.0022406023740768432,0.1717866137623787,12.335107157164627,0.9728452935011592,1.94648805641681e-05,1.3304303016987464,0.1737632629275322,3.980913607834225,3.2751001307973637,50,period 25/50/100,first_50_affected_losses,236.65169093953799,-67.72696372141378,dynamic_period_start300
302,301,400,0.010123670101165771,0.002653329223394394,0.1695002533495426,12.329366081688145,0.9733163382607745,1.862678672932483e-05,1.5981711669443937,0.1716782346367836,4.0069194478975,3.2265753072500227,100,period 25/50/100,first_100_affected_losses,231.50325134946485,-67.50101001665716,dynamic_period_start300
302,301,450,0.010123670101165771,0.0026860422889391582,0.1667983999848366,12.32753297489092,0.973453123261376,1.7748592024786792e-05,1.6368158088049853,0.16900752743085226,4.028523940724425,3.2172867800834744,150,period 25/50/100,first_150_affected_losses,230.50248678688763,-67.32092342458267,dynamic_period_start300
302,301,453,0.010123670101165771,0.0027057047373329115,0.16676907309519698,12.327458273983227,0.9734585950013366,1.769486918396074e-05,1.6497939418578071,0.1690072142610363,4.003098994062859,3.2495346566174463,153,period 25/50/100,high_lr_phase_step301_453,233.81334073207137,-67.52697186157755,dynamic_period_start300
302,454,735,0.010171458125114441,0.003155977379345725,0.15788420025549882,12.281805033498502,0.9770719549856652,9.748560058131813e-06,2.014022432497097,0.16097046693800188,4.082599833555062,3.1357327973701685,282,period 25/50/100,middle_lr_phase_step454_735,220.9316142347135,-66.75895910723372,dynamic_period_start300
302,736,1000,0.006802886724472046,0.0036195727170638316,0.15270784002430035,12.309254563634251,0.974900835572373,2.3576206724206795e-06,2.393786740573452,0.1562880205939401,3.9999056354769684,3.153302142088398,265,period 25/50/100,low_lr_phase_step736_1000,223.44850132752902,-67.5048914229619,dynamic_period_start300
